epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4365.72,0.86444,0.38473,0.82223,0.55181,0.641,0.62599,0.47942,1.03891,2.46352,0.81403,0.004357,0.004357,0.004357
59,4440.3,0.86656,0.38756,0.82308,0.54506,0.637,0.63893,0.49261,1.04096,2.54878,0.81113,0.004258,0.004258,0.004258
60,4514.42,0.84828,0.3844,0.82959,0.54515,0.659,0.63479,0.4821,1.02726,2.40307,0.80927,0.004159,0.004159,0.004159
61,4589.99,0.86115,0.38436,0.82542,0.53413,0.6505,0.63355,0.48487,1.03896,2.47182,0.81225,0.00406,0.00406,0.00406
62,4662.91,0.85706,0.38033,0.82804,0.52987,0.6305,0.60154,0.46306,1.0437,2.58591,0.81281,0.003961,0.003961,0.003961
63,4736.33,0.83655,0.37799,0.82276,0.56011,0.684,0.63829,0.48571,1.03347,2.35172,0.81021,0.003862,0.003862,0.003862
64,4809.12,0.83869,0.37885,0.8223,0.60775,0.7295,0.70696,0.5395,1.0176,2.22347,0.80637,0.003763,0.003763,0.003763
65,4884.62,0.83438,0.37355,0.81852,0.56794,0.6635,0.62941,0.48438,1.02367,2.41778,0.80652,0.003664,0.003664,0.003664
66,4961.46,0.83026,0.36977,0.81892,0.57088,0.642,0.63436,0.48721,1.0297,2.48482,0.80714,0.003565,0.003565,0.003565
67,5037.41,0.83879,0.37353,0.81782,0.56356,0.669,0.63964,0.48922,1.02856,2.39284,0.8094,0.003466,0.003466,0.003466
68,5113.7,0.82653,0.37203,0.81982,0.55456,0.671,0.6154,0.47639,1.00339,2.39286,0.80633,0.003367,0.003367,0.003367
69,5189.24,0.83052,0.37057,0.82106,0.56367,0.6545,0.61651,0.47871,1.00017,2.43939,0.80684,0.003268,0.003268,0.003268
70,5263.2,0.82123,0.36851,0.8198,0.54213,0.6185,0.60613,0.46997,1.01527,2.58324,0.8079,0.003169,0.003169,0.003169
71,5336.23,0.81704,0.37037,0.81667,0.53378,0.6195,0.59923,0.46613,1.01626,2.5549,0.80872,0.00307,0.00307,0.00307
72,5410.54,0.82053,0.36564,0.82033,0.54967,0.6385,0.61599,0.47734,1.00891,2.4465,0.80828,0.002971,0.002971,0.002971
73,5483.71,0.81832,0.36264,0.8145,0.54609,0.6415,0.61978,0.48298,1.01734,2.44518,0.80889,0.002872,0.002872,0.002872
74,5557.52,0.80329,0.35909,0.8193,0.54688,0.631,0.62473,0.48734,1.00749,2.53146,0.80859,0.002773,0.002773,0.002773
75,5631.45,0.80464,0.3578,0.81494,0.58033,0.629,0.63999,0.50114,1.00566,2.53119,0.80722,0.002674,0.002674,0.002674
76,5705.95,0.79891,0.3586,0.81681,0.56172,0.6225,0.63615,0.49602,1.0114,2.55686,0.80763,0.002575,0.002575,0.002575
77,5779.89,0.79988,0.36045,0.81863,0.56601,0.625,0.62847,0.49267,1.01616,2.54826,0.80755,0.002476,0.002476,0.002476
78,5854.01,0.79864,0.35717,0.82137,0.57733,0.641,0.64021,0.49966,1.00195,2.48618,0.80667,0.002377,0.002377,0.002377
79,5927.79,0.78601,0.35626,0.8094,0.56149,0.632,0.63626,0.4978,0.99644,2.49634,0.80585,0.002278,0.002278,0.002278
80,6003.4,0.80381,0.35656,0.81509,0.5629,0.633,0.64421,0.50182,0.99624,2.50428,0.80642,0.002179,0.002179,0.002179
81,6085.47,0.78319,0.3499,0.81662,0.56423,0.631,0.65491,0.51027,0.99692,2.52878,0.80628,0.00208,0.00208,0.00208
82,6161.97,0.78363,0.34941,0.81568,0.56014,0.6235,0.64105,0.50019,0.9988,2.56921,0.80615,0.001981,0.001981,0.001981
83,6237.63,0.78168,0.3473,0.81843,0.56362,0.622,0.63863,0.49726,1.00074,2.58803,0.80631,0.001882,0.001882,0.001882
84,6314.83,0.77468,0.34594,0.81968,0.55788,0.6235,0.63722,0.49594,0.99623,2.56396,0.80638,0.001783,0.001783,0.001783
85,6389.33,0.78414,0.34673,0.81331,0.55413,0.618,0.63143,0.49202,1.00506,2.59567,0.80688,0.001684,0.001684,0.001684
86,6464.31,0.77223,0.34337,0.81101,0.55348,0.618,0.6333,0.49391,1.01178,2.6086,0.80722,0.001585,0.001585,0.001585
87,6538.64,0.76452,0.34121,0.81324,0.55858,0.6225,0.64367,0.50255,1.01432,2.57752,0.80693,0.001486,0.001486,0.001486
88,6611.43,0.76956,0.34204,0.81461,0.54663,0.62,0.63955,0.50145,1.00813,2.6017,0.80651,0.001387,0.001387,0.001387
89,6684.74,0.75232,0.33402,0.81038,0.73045,0.536,0.63001,0.49257,1.01227,2.66091,0.80763,0.001288,0.001288,0.001288
90,6758.69,0.76133,0.33854,0.81609,0.73234,0.535,0.62559,0.49121,1.0196,2.68875,0.80821,0.001189,0.001189,0.001189
91,6832.96,0.72057,0.32263,0.80578,0.77175,0.5285,0.64188,0.50278,1.00562,2.68141,0.80661,0.00109,0.00109,0.00109
92,6905.21,0.71605,0.31925,0.81059,0.56785,0.6085,0.6417,0.50396,0.99791,2.70916,0.80626,0.000991,0.000991,0.000991
93,6978.43,0.71102,0.31803,0.80803,0.57075,0.6115,0.64193,0.5041,0.99947,2.70652,0.80596,0.000892,0.000892,0.000892
94,7051.82,0.70622,0.314,0.80641,0.57525,0.61,0.64502,0.50705,0.99947,2.71349,0.8057,0.000793,0.000793,0.000793
95,7126.33,0.70068,0.31421,0.80808,0.5814,0.6085,0.64425,0.50451,0.99989,2.72717,0.80554,0.000694,0.000694,0.000694
96,7200.88,0.70312,0.31491,0.80726,0.78108,0.526,0.6437,0.50393,1.00451,2.73595,0.80564,0.000595,0.000595,0.000595
97,7276.11,0.69248,0.30976,0.80315,0.76437,0.53194,0.64107,0.50272,1.0024,2.75024,0.80556,0.000496,0.000496,0.000496
98,7352.03,0.68738,0.3074,0.80398,0.76114,0.5316,0.63767,0.50176,1.00631,2.75829,0.80548,0.000397,0.000397,0.000397
99,7426.88,0.68137,0.30456,0.8031,0.76327,0.53208,0.63945,0.50251,1.00787,2.76438,0.8056,0.000298,0.000298,0.000298
100,7500.09,0.68433,0.30253,0.80257,0.75447,0.5335,0.63666,0.50057,1.01066,2.76605,0.80529,0.000199,0.000199,0.000199
